numberSupervisedPairsList,SsvTrainingMeanList,SsvTestingAllMeanList,SsvTestingUsvMeanList
61,0.9996542127026142,0.999617489604212,0.9995600509118399
62,0.9993703139148794,0.9993317871293461,0.9992689276371604
63,0.9992494291050132,0.999216258861851,0.9991597797991687
64,0.999010294594848,0.9989312486414503,0.9987907225020762
65,0.9997451430906643,0.999725826032565,0.999689951496095
66,0.9993165098198155,0.9992833621456334,0.9992190166604564
67,0.9996193246547673,0.999602086255873,0.9995670870823605
68,0.9996408119193736,0.9996220233480673,0.9995820976340415
69,0.9996185303293771,0.9995985337659852,0.9995540252861778
70,0.9990152567011494,0.9989532585166112,0.9988085960860229
71,0.9994665217261989,0.999448263766646,0.9994035632449823
72,0.9995329287096082,0.9995168375864237,0.9994754604125209
73,0.9994755066652043,0.9994501513311167,0.999381598020436
74,0.9992476444709618,0.9991969303126507,0.9990525900159184
75,0.9996113586316067,0.9996039809088988,0.9995818477407743
76,0.9995830709011949,0.9995836783102486,0.9995856017722516
77,0.9994808484501455,0.999459087269743,0.9993862346223079
78,0.9993754666026847,0.9993467711564387,0.9992450327561121
79,0.9993783937849413,0.9993630760727502,0.9993054522983174
80,0.9992105392302542,0.9991880113007324,0.9990978995826459
81,0.9995944349722506,0.9995804517372294,0.9995208389984527
82,0.9995738145315565,0.9995557895755013,0.9994736758868068
83,0.9992110621067679,0.9991977615934499,0.9991328237931321
84,0.9994312937645431,0.9994304872940099,0.9994262533237116
85,0.9996182887070058,0.9996036050775988,0.9995203978442928
86,0.9996786384979875,0.9996769008880644,0.9996662269985368
87,0.9995644546102112,0.9995532461580672,0.9994782357475656
88,0.9996994442945335,0.9996975509492904,0.9996836664175076
89,0.9997655202435325,0.9997603394192571,0.9997184218410291
90,0.9996210587205587,0.999614231532831,0.9995527868432845
91,0.9994035395643508,0.9994035388487523,0.9994035316132578
92,0.9997229491424898,0.9997206081177323,0.9996936863330241
93,0.9996607003113679,0.999659700800367,0.9996464215827814
94,0.9994718684317139,0.9994741251005312,0.9995094795786722
95,0.9996306025589897,0.9996265747792421,0.9995500469640378
96,0.9994277194638898,0.9994251326987731,0.999363050335975
97,0.999575479329482,0.9995755221012083,0.9995769050537022
98,0.999287727822181,0.9992873953944578,0.9992711064360155
99,0.9996020266603642,0.9996024127018044,0.9996406308044048
100,0.9994493861836748,0.9994493861836748,1.0
